2013-06-02 01:50:41 status half-installed klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:41 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:41 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:41 install kmod:armhf <none> 9-3ubuntu1
2013-06-02 01:50:41 status half-installed kmod:armhf 9-3ubuntu1
2013-06-02 01:50:41 status unpacked kmod:armhf 9-3ubuntu1
2013-06-02 01:50:41 status unpacked kmod:armhf 9-3ubuntu1
2013-06-02 01:50:41 install libacl1:armhf <none> 2.2.51-8ubuntu3
2013-06-02 01:50:41 status half-installed libacl1:armhf 2.2.51-8ubuntu3
2013-06-02 01:50:41 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-02 01:50:41 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-02 01:50:41 install libattr1:armhf <none> 1:2.4.46-8ubuntu2
2013-06-02 01:50:41 status half-installed libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-02 01:50:41 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-02 01:50:41 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-02 01:50:42 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 install libaudit1:armhf <none> 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status half-installed libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-02 01:50:42 install libblkid1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-02 01:50:42 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:42 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:42 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:42 install libbz2-1.0:armhf <none> 1.0.6-4
2013-06-02 01:50:42 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-06-02 01:50:42 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-02 01:50:42 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-02 01:50:42 install libc-bin:armhf <none> 2.17-0ubuntu5
2013-06-02 01:50:42 status half-installed libc-bin:armhf 2.17-0ubuntu5
2013-06-02 01:50:42 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-02 01:50:42 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-02 01:50:43 upgrade libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-02 01:50:43 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:43 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:43 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:45 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:45 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:45 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:45 install libcap2:armhf <none> 1:2.22-1.2ubuntu2
2013-06-02 01:50:45 status half-installed libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-02 01:50:45 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-02 01:50:45 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-02 01:50:45 install libcomerr2:armhf <none> 1.42.5-1ubuntu4
2013-06-02 01:50:45 status half-installed libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:45 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:45 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:45 install libdb5.1:armhf <none> 5.1.29-5ubuntu8
2013-06-02 01:50:45 status half-installed libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-02 01:50:46 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-02 01:50:46 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-02 01:50:46 install libdbus-1-3:armhf <none> 1.6.8-1ubuntu6
2013-06-02 01:50:46 status half-installed libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-02 01:50:46 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-02 01:50:46 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-02 01:50:46 install libdrm2:armhf <none> 2.4.43-0ubuntu1
2013-06-02 01:50:46 status half-installed libdrm2:armhf 2.4.43-0ubuntu1
2013-06-02 01:50:46 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-02 01:50:46 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-02 01:50:46 install libffi6:armhf <none> 3.0.13-2ubuntu1
2013-06-02 01:50:46 status half-installed libffi6:armhf 3.0.13-2ubuntu1
2013-06-02 01:50:46 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-02 01:50:46 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-02 01:50:46 install libgcc1:armhf <none> 1:4.7.3-1ubuntu1
2013-06-02 01:50:46 status half-installed libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-02 01:50:46 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-02 01:50:46 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-02 01:50:46 install libglib2.0-0:armhf <none> 2.36.0-1ubuntu2
2013-06-02 01:50:46 status half-installed libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-02 01:50:47 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-02 01:50:47 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-02 01:50:47 install libjson0:armhf <none> 0.10-1.2ubuntu2
2013-06-02 01:50:47 status half-installed libjson0:armhf 0.10-1.2ubuntu2
2013-06-02 01:50:47 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-02 01:50:47 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-02 01:50:47 install libklibc:armhf <none> 2.0.1-3.1ubuntu1
2013-06-02 01:50:47 status half-installed libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:48 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:48 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-02 01:50:48 install libkmod2:armhf <none> 9-3ubuntu1
2013-06-02 01:50:48 status half-installed libkmod2:armhf 9-3ubuntu1
2013-06-02 01:50:48 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-02 01:50:48 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-02 01:50:48 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu1
2013-06-02 01:50:48 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-02 01:50:48 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-02 01:50:48 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-02 01:50:48 install libmount1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-02 01:50:48 status half-installed libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:48 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:48 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-02 01:50:48 install libncurses5:armhf <none> 5.9-10ubuntu4
2013-06-02 01:50:48 status half-installed libncurses5:armhf 5.9-10ubuntu4
2013-06-02 01:50:48 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-02 01:50:48 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-02 01:50:48 install libncursesw5:armhf <none> 5.9-10ubuntu4
2013-06-02 01:50:48 status half-installed libncursesw5:armhf 5.9-10ubuntu4
2013-06-02 01:50:48 status unpacked libncursesw5:armhf 5.9-10ubuntu4
2013-06-02 01:50:48 status unpacked libncursesw5:armhf 5.9-10ubuntu4
2013-06-02 01:50:49 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu16
2013-06-02 01:50:49 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 install libnih1:armhf <none> 1.0.3-4ubuntu16
2013-06-02 01:50:49 status half-installed libnih1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 status unpacked libnih1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 status unpacked libnih1:armhf 1.0.3-4ubuntu16
2013-06-02 01:50:49 install libpam-modules:armhf <none> 1.1.3-8ubuntu2
2013-06-02 01:50:49 status half-installed libpam-modules:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-modules:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-modules:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 install libpam-modules-bin:armhf <none> 1.1.3-8ubuntu2
